S01-S1.1-M-51;S01-S1.2-M-51;S01-S2.1-M-51;S01-S2.2-M-51
;2048;;1892
;2032;;1884
;2016;;1876
;1996;;1876
;1980;;1884
;1964;;1904
;1952;;1940
;1936;;1984
;1924;;2032
;1912;;2088
;1900;;2136
;1892;;2180
;1892;;2216
;1904;;2240
;1928;;2256
;1972;;2260
;2024;;2256
;2084;;2240
;2144;;2220
;2200;;2200
;2248;;2176
;2284;;2160
;2312;;2144
;2324;;2132
;2328;;2124
;2324;;2116
;2308;;2108
;2288;;2096
;2264;;2084
;2240;;2068
;2216;;2052
;2196;;2036
;2180;;2020
;2168;;2004
;2156;;1984
;2148;;1968
;2136;;1952
;2124;;1940
;2112;;1928
;2096;;1916
;2076;;1904
;2060;;1892
;2040;;1880
;2024;;1872
;2008;;1864
;1988;;1856
;1972;;1852
;1956;;1860
;1940;;1876
;1924;;1904
;1912;;1944
;1904;;1992
;1900;;2040
;1908;;2088
;1932;;2132
;1968;;2168
;2012;;2192
;2068;;2208
;2124;;2208
;2176;;2200
;2220;;2184
;2252;;2164
;2280;;2140
;2292;;2120
;2296;;2100
;2288;;2088
;2272;;2080
;2252;;2072
;2224;;2068
;2200;;2060
;2180;;2056
;2160;;2044
;2144;;2032
;2132;;2020
;2120;;2004
;2108;;1988
;2096;;1972
;2080;;1956
;2064;;1940
;2048;;1928
;2028;;1912
;2012;;1900
;1996;;1888
;1980;;1876
;1960;;1868
;1944;;1856
;1932;;1848
;1916;;1840
;1900;;1840
;1888;;1844
;1876;;1860
;1868;;1888
;1860;;1928
;1860;;1972
;1868;;2024
;1892;;2072
;1932;;2112
;1980;;2148
;2036;;2172
;2088;;2184
;2132;;2184
;2168;;2172
;2196;;2156
;2216;;2132
;2224;;2112
;2220;;2092
;2204;;2076
;2188;;2064
;2164;;2056
;2140;;2052
;2120;;2048
;2104;;2044
;2088;;2040
;2080;;2032
;2072;;2020
;2064;;2008
;2060;;1996
;2048;;1984
;2036;;1968
;2024;;1952
;2012;;1936
;2000;;1924
;1984;;1908
;1968;;1896
;1952;;1884
;1936;;1872
;1920;;1864
;1904;;1860
;1892;;1860
;1880;;1872
;1868;;1896
;1856;;1932
;1852;;1980
;1852;;2032
;1856;;2084
;1876;;2136
;1908;;2180
;1952;;2212
;2000;;2236
;2052;;2248
;2104;;2252
