A14-A1
1440
1440
1460
1508
1600
1732
1884
2036
2176
2292
2384
2452
2500
2532
2556
2572
2576
2572
2560
2540
2516
2492
2468
2448
2428
2408
2388
2364
2340
2312
2280
2244
2204
2168
2128
2088
2048
2008
1972
1936
1900
1864
1832
1800
1772
1740
1716
1688
1668
1644
1620
1600
1584
1572
1576
1604
1676
1784
1912
2048
2176
2284
2372
2436
2480
2512
2532
2540
2544
2536
2520
2500
2480
2456
2436
2416
2400
2380
2360
2336
2312
2280
2248
2212
2176
2136
2100
2060
2024
1988
1952
1916
1880
1848
1816
1784
1756
1728
1700
1676
1652
1632
1608
1592
1588
1604
1660
1756
1884
2028
2168
2296
2404
2492
2556
2608
2644
2668
2688
2692
2692
2684
2664
2644
2620
2592
2568
2540
2512
2484
2456
2420
2384
2348
2308
2268
2228
2192
2156
2116
2084
2048
2012
1980
1948
1916
1884
1856
1824
1792
